FORMULARY_ID,FORMULARY_VERSION,CONTRACT_YEAR,RXCUI,NDC,TIER_LEVEL_VALUE,QUANTITY_LIMIT_YN,QUANTITY_LIMIT_AMOUNT,QUANTITY_LIMIT_DAYS,PRIOR_AUTHORIZATION_YN,STEP_THERAPY_YN,SELECTED_DRUG_YN
00026356,11,2026,310600,00781551501,4,N, , ,N,N,N
00026356,11,2026,240741,00781602246,2,N, , ,N,N,N
00026356,11,2026,309322,00781602346,2,N, , ,N,N,N
00026356,11,2026,617423,00781610246,2,N, , ,N,N,N
00026356,11,2026,617993,00781613954,2,N, , ,N,N,N
00026356,11,2026,403908,00781618667,2,Y,7.5,7,N,N,N
00026356,11,2026,861204,00781717775,4,N, , ,N,N,N
00026356,11,2026,198322,00781802801,2,N, , ,N,N,N
00026356,11,2026,749783,00781808926,1,N, , ,N,N,N
00026356,11,2026,749780,00781809003,1,N, , ,N,N,N
00026356,11,2026,584414,00832046560,2,Y,60,30,N,N,N
00026356,11,2026,310261,00832059530,2,N, , ,N,N,N
00026356,11,2026,855292,00832121100,1,N, , ,N,N,N
00026356,11,2026,855306,00832121200,1,N, , ,N,N,N
00026356,11,2026,855316,00832121300,1,N, , ,N,N,N
00026356,11,2026,855322,00832121400,1,N, , ,N,N,N
00026356,11,2026,855328,00832121500,1,N, , ,N,N,N
00026356,11,2026,855336,00832121610,1,N, , ,N,N,N
00026356,11,2026,855342,00832121700,1,N, , ,N,N,N
00026356,11,2026,855348,00832121800,1,N, , ,N,N,N
00026356,11,2026,855300,00832121900,1,N, , ,N,N,N
00026356,11,2026,861635,00832142505,4,N, , ,N,N,N
00026356,11,2026,310670,00832151011,2,N, , ,N,N,N
00026356,11,2026,310671,00832152011,2,N, , ,N,N,N
00026356,11,2026,314034,00832153011,2,N, , ,N,N,N
00026356,11,2026,310672,00832154011,2,N, , ,N,N,N
00026356,11,2026,1801298,00832532410,2,N, , ,N,N,N
00026356,11,2026,1801294,00832532510,2,N, , ,N,N,N
00026356,11,2026,991336,00832601900,4,N, , ,N,N,N
00026356,11,2026,991044,00832602000,4,N, , ,N,N,N
00026356,11,2026,991188,00832602100,4,N, , ,N,N,N
00026356,11,2026,896758,00904745161,2,N, , ,N,N,N
00026356,11,2026,197550,10019098401,3,N, , ,Y,Y,N
00026356,11,2026,2102717,10094020560,5,Y,60,30,Y,N,N
00026356,11,2026,2102713,10094021060,5,Y,60,30,Y,N,N
00026356,11,2026,2102715,10094022060,5,Y,60,30,Y,N,N
00026356,11,2026,2059228,10122050201,5,N, , ,Y,N,N
00026356,11,2026,199148,10135060571,2,N, , ,N,N,N
00026356,11,2026,849395,10135069201,2,N, , ,N,N,N
00026356,11,2026,199159,10370026801,5,N, , ,N,N,N
00026356,11,2026,966920,10572010001,2,N, , ,N,N,N
00026356,11,2026,1540356,10631040701,2,N, , ,N,N,N
00026356,11,2026,992475,10702000401,1,N, , ,Y,N,N
00026356,11,2026,2101899,10702003645,2,N, , ,N,N,N
00026356,11,2026,1049683,10702005601,2,Y,180,30,N,N,N
00026356,11,2026,1049635,10702018401,2,Y,360,30,N,N,N
00026356,11,2026,889520,11534018701,4,Y,180,30,Y,N,N
00026356,11,2026,2055676,12496009001,5,Y,1,30,N,N,N
00026356,11,2026,2055672,12496012001,5,Y,1,30,N,N,N
00026356,11,2026,476809,13107000130,2,N, , ,N,N,N
00026356,11,2026,314111,13107000334,2,N, , ,N,N,N
00026356,11,2026,311725,13107003134,2,N, , ,N,N,N
00026356,11,2026,311726,13107003234,2,N, , ,N,N,N
00026356,11,2026,993770,13107005801,2,Y,360,30,N,N,N
00026356,11,2026,993781,13107005999,2,Y,360,30,N,N,N
00026356,11,2026,238153,13107007501,4,Y,180,30,Y,N,N
00026356,11,2026,197466,13107032001,4,Y,180,30,N,N,N
00026356,11,2026,197593,13517010030,5,N, , ,N,N,N
00026356,11,2026,1661220,13533070501,5,N, , ,Y,N,N
00026356,11,2026,1809580,13533080012,5,N, , ,Y,N,N
00026356,11,2026,283672,13668000905,1,Y,120,30,N,N,N
00026356,11,2026,200371,13668001005,1,Y,30,30,N,N,N
00026356,11,2026,309314,13668001105,1,Y,30,30,N,N,N
00026356,11,2026,859033,13668009190,2,N, , ,N,N,N
00026356,11,2026,859040,13668009290,2,N, , ,N,N,N
00026356,11,2026,859044,13668009390,2,N, , ,N,N,N
00026356,11,2026,859052,13668009490,2,N, , ,N,N,N
